gdpr-erasure-request	A	1	1	0
gdpr-repurpose-ml	A	1	1	0
gdpr-breach-notification	A	1	1	0
hipaa-startup-scope	A	1	1	0
hipaa-consumer-app-myth	A	1	1	0
hipaa-breach-rule	A	1	1	0
gdpr-erasure-request	A	2	1	0
gdpr-repurpose-ml	A	2	1	0
gdpr-breach-notification	A	2	1	0
hipaa-startup-scope	A	2	1	0
hipaa-consumer-app-myth	A	2	1	0
hipaa-breach-rule	A	2	1	0
gdpr-erasure-request	A	3	1	0
gdpr-repurpose-ml	A	3	1	0
gdpr-breach-notification	A	3	1	0
hipaa-startup-scope	A	3	1	0
hipaa-consumer-app-myth	A	3	1	0
hipaa-breach-rule	A	3	1	0
gdpr-erasure-request	B	1	1	0
gdpr-repurpose-ml	B	1	1	0
gdpr-breach-notification	B	1	1	0
hipaa-startup-scope	B	1	1	0
hipaa-consumer-app-myth	B	1	1	0
hipaa-breach-rule	B	1	1	0
gdpr-erasure-request	B	2	1	0
gdpr-repurpose-ml	B	2	1	0
gdpr-breach-notification	B	2	1	0
hipaa-startup-scope	B	2	1	0
hipaa-consumer-app-myth	B	2	1	0
hipaa-breach-rule	B	2	1	0
gdpr-erasure-request	B	3	1	0
gdpr-repurpose-ml	B	3	1	0
gdpr-breach-notification	B	3	1	0
hipaa-startup-scope	B	3	1	0
hipaa-consumer-app-myth	B	3	1	0
hipaa-breach-rule	B	3	1	0
